Kernel,Optimisation,ProblemSize,BlockSize,GridSize,MyDurationMin,MyDurationMed,Scalability,DurationNs,MeanOccupancyPerCU,MeanOccupancyPerActiveCU,GPUBusy,Wavefronts,L2CacheHit,SALUInsts,VALUInsts,SFetchInsts
saxpy,NOPT,1000000,8,125000,161755,164711,1.83,57001,14.7201518481,18.8146837209,100,166667,80.7708398703,2,9,4
saxpy,NOPT,1000000,16,62500,150051,153091,2.03,29560,12.5366537742,19.4743244943,100,83334,66.6495950834,2,9,4
saxpy,NOPT,1000000,24,41667,146741,150011,2.23,21081,11.2519528373,21.0797733013,100,55556,69.9849720807,2,9,4
saxpy,NOPT,1000000,32,31250,157157,162179,3.20,16600,9.8733970481,21.8538417147,100,41666,49.9960006399,2,9,4
saxpy,NOPT,1000000,40,25000,145663,153553,5.42,14361,18.4172047925,37.5159093718,100,66668,66.6401635014,2,9,4
saxpy,NOPT,1000000,48,20834,153469,159853,4.16,12401,16.003613434,37.4840817501,100,55558,57.1161035843,2,8.9998740055,3.9999640016
saxpy,NOPT,1000000,56,17858,151951,158541,4.34,11240,22.5495320974,38.2278980466,100,47622,63.0862258335,2,8.9998530091,3.9999580026
saxpy,NOPT,1000000,64,15625,150841,156093,3.48,10520,22.1233222103,38.0941207861,100,41668,49.9976003072,2,9,4
saxpy,NOPT,1000000,72,13889,148837,154439,3.76,12921,16.1800392526,36.4117343604,100,55557,61.9859889809,2,8.9998740033,3.9999640009
saxpy,NOPT,1000000,80,12500,155287,158503,2.07,12000,22.4915931315,36.5133837518,100,49998,54.0838511598,2,9,4
saxpy,NOPT,1000000,88,11364,150187,154765,3.05,11680,21.9809774774,36.5867571422,100,45456,60.2329472084,2,8.9998460049,3.9999560014
saxpy,NOPT,1000000,96,10417,150359,155745,3.58,10760,21.1449549416,36.386323604,100,41667,49.9964005471,2,8.9996640027,3.9999040008
