SIZE, NB_THREAD, MED, MIN, AVG, SCALABILITY
500000, 8, 38625.901745, 26627.063751, 27250.051498, 2.339679
500000, 16, 27331.236870, 19191.026688, 19642.829895, 2.354242
500000, 32, 9957.690393, 7112.979889, 7521.152496, 5.738419
500000, 64, 7050.829549, 5139.112473, 5398.988724, 5.056831
500000, 128, 6726.103444, 4896.879196, 5296.945572, 8.169824
500000, 256, 6855.841606, 5001.068115, 5240.917206, 4.795957
500000, 512, 7015.851236, 5115.985870, 5410.909653, 5.764750
500000, 1024, 7327.156682, 5255.937576, 5650.997162, 7.516444
1000000, 8, 63816.139775, 44067.144394, 45100.927353, 2.345927
1000000, 16, 38022.195139, 26602.983475, 27616.977692, 3.811581
1000000, 32, 27366.045983, 19106.149673, 19930.124283, 4.312614
1000000, 64, 10691.173615, 7658.004761, 7992.029190, 4.361768
1000000, 128, 10813.636165, 7764.816284, 8008.003235, 3.131909
1000000, 256, 10978.091148, 7834.911346, 8073.091507, 3.039985
1000000, 512, 11305.509075, 8043.050766, 8231.163025, 2.338817
1000000, 1024, 12011.712597, 8504.152298, 8961.915970, 5.382825
1048576, 8, 66430.014949, 46288.967133, 46817.064285, 1.140870
1048576, 16, 39359.854114, 27137.994766, 28929.233551, 6.600483
1048576, 32, 27426.427410, 19203.901291, 19909.143448, 3.672390
1048576, 64, 11044.048494, 8122.920990, 8667.945862, 6.709715
1048576, 128, 11151.244563, 8033.037186, 8177.042007, 1.792657
1048576, 256, 11324.313379, 8039.951324, 8387.088776, 4.317656
1048576, 512, 11675.134782, 8278.131485, 8654.117584, 4.541920
1048576, 1024, 12433.167427, 8868.932724, 9204.864502, 3.787736
1500000, 8, 90429.259885, 61022.043228, 63361.167908, 3.833246
1500000, 16, 50737.496345, 35454.034805, 36027.908325, 1.618641
1500000, 32, 30855.978689, 21600.961685, 22265.911102, 3.078332
1500000, 64, 19346.875529, 13516.187668, 13870.954514, 2.624755
1500000, 128, 19484.150794, 13542.175293, 13998.031616, 3.366197
1500000, 256, 19419.100977, 13886.928558, 14034.032822, 1.059300
1500000, 512, 19638.353778, 13820.886612, 14036.893845, 1.562904
1500000, 1024, 19975.531486, 14154.195786, 14395.952225, 1.708020
2000000, 8, 117962.575728, 81440.925598, 82222.938538, 0.960221
2000000, 16, 64113.047815, 44777.154922, 45219.898224, 0.988770
2000000, 32, 39151.583948, 27358.770370, 27704.000473, 1.261863
2000000, 64, 27392.387390, 19326.925278, 19964.933395, 3.301136
2000000, 128, 27362.231285, 19308.805466, 19932.031631, 3.227679
2000000, 256, 27504.459504, 19142.866135, 19481.182098, 1.767321
2000000, 512, 27441.324726, 18653.154373, 19982.814789, 7.128341
2000000, 1024, 27414.221917, 19351.005554, 19878.864288, 2.727810
3000000, 8, 171309.386530, 118523.120880, 119292.020798, 0.648734
3000000, 16, 90949.196969, 62738.180161, 63809.156418, 1.707057
3000000, 32, 50755.254684, 35717.010498, 35983.085632, 0.744954
3000000, 64, 31536.740641, 21811.008453, 22493.839264, 3.130671
3000000, 128, 31784.780564, 22372.961044, 23028.135300, 2.928420
3000000, 256, 32278.753096, 22493.124008, 22811.889648, 1.417169
3000000, 512, 33412.464203, 23219.823837, 23618.936539, 1.718845
3000000, 1024, 35338.847868, 24549.007416, 24950.027466, 1.633549
4000000, 8, 225674.275429, 155712.127686, 156440.973282, 0.468072
4000000, 16, 118214.599548, 82216.024399, 83159.923553, 1.148072
4000000, 32, 64378.861458, 44876.098633, 45405.864716, 1.180508
4000000, 64, 39063.976657, 27049.064636, 28081.893921, 3.818355
4000000, 128, 39049.794597, 27086.019516, 27837.991714, 2.776237
4000000, 256, 39650.640180, 27081.966400, 28976.917267, 6.997095
4000000, 512, 40723.923714, 27904.987335, 29379.129410, 5.282719
4000000, 1024, 42949.415022, 29938.936234, 30550.956726, 2.044229
5000000, 8, 279548.291237, 192435.979843, 194117.069244, 0.873584
5000000, 16, 145270.532177, 100311.994553, 101191.997528, 0.877266
5000000, 32, 79381.588967, 54162.025452, 56467.056274, 4.255806
5000000, 64, 45015.073592, 31284.093857, 31769.037247, 1.550128
5000000, 128, 45311.658613, 31729.936600, 32577.991486, 2.672728
5000000, 256, 46418.836040, 32178.163528, 32869.100571, 2.147223
5000000, 512, 47765.316502, 33316.850662, 34049.987793, 2.200500
5000000, 1024, 51807.865020, 35933.971405, 36206.960678, 0.759697
10000000, 8, 549959.321176, 379040.002823, 380493.879318, 0.383568
10000000, 16, 280547.057429, 193569.898605, 194448.947906, 0.454125
10000000, 32, 145927.006199, 100704.193115, 101075.172424, 0.368385
10000000, 64, 81914.624860, 56422.948837, 57811.021805, 2.460121
10000000, 128, 82280.789652, 56861.877441, 57986.974716, 1.978649
10000000, 256, 83207.661106, 57875.871658, 58472.871780, 1.031518
10000000, 512, 86480.609832, 60070.037842, 60658.931732, 0.980345
10000000, 1024, 91479.847508, 63567.876816, 63976.049423, 0.642105
