NTHREAD, 1000, 10000, 100000, 1000000, 10000000, 100000000
1, 1967, 6351, 55427, 438249, 4314847, 43182961
2, 2015, 3673, 33474, 217664, 2162229, 21609809
4, 1845, 2538, 23951, 109918, 1085023, 10811149
8, 1843, 1992, 7554, 59908, 547554, 5412939
16, 2053, 2277, 5150, 33712, 278408, 2849350
32, 1862, 2159, 3406, 20003, 145196, 3017006
64, 1855, 1932, 3116, 15532, 81928, 3016103
128, 1869, 2259, 3171, 21367, 76432, 3002131
256, 1866, 1921, 3297, 10833, 80639, 3000574
512, 1875, 1916, 3318, 10420, 85913, 2990892
1024, 1918, 1960, 3547, 15891, 95755, 2945259
